Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Altitude(m),Status
521922,13.26,20.51,1002.79,39.46,87.45,Warning
523940,13.26,20.51,1002.79,39.47,87.44,Warning
525958,13.26,20.51,1002.79,39.44,87.44,Warning
527976,13.02,20.51,1002.79,39.46,87.43,Warning
529994,13.26,20.51,1002.80,39.47,87.38,Warning
532014,13.26,20.51,1002.80,39.45,87.36,Warning
534032,13.26,20.51,1002.81,39.45,87.32,Warning
536050,13.26,20.51,1002.81,39.45,87.31,Warning
538068,13.02,20.51,1002.81,39.44,87.31,Warning
540086,13.02,20.51,1002.80,39.44,87.33,Warning
542104,12.79,20.51,1002.80,39.42,87.37,Warning
544122,12.79,20.51,1002.80,39.42,87.37,Warning
546140,12.79,20.51,1002.80,39.42,87.36,Warning
548158,12.56,20.51,1002.80,39.42,87.34,Warning
550176,12.79,20.51,1002.80,39.44,87.36,Warning
552194,13.02,20.51,1002.80,39.45,87.36,Warning
554214,13.02,20.51,1002.80,39.45,87.33,Warning
556232,12.79,20.51,1002.81,39.46,87.32,Warning
558250,13.02,20.51,1002.81,39.46,87.30,Warning
560268,12.79,20.51,1002.81,39.46,87.31,Warning
562286,12.79,20.51,1002.81,39.49,87.31,Warning
564304,12.79,20.51,1002.80,39.50,87.35,Warning
566322,12.56,20.51,1002.80,39.47,87.36,Warning
568340,12.79,20.51,1002.80,39.46,87.38,Warning
570358,12.79,20.51,1002.80,39.49,87.35,Warning
572376,13.02,20.51,1002.80,39.49,87.35,Warning
574396,12.79,20.51,1002.80,39.45,87.33,Warning
576414,12.79,20.50,1002.80,39.44,87.36,Warning
578432,13.02,20.50,1002.80,39.47,87.33,Warning
580450,12.79,20.50,1002.81,39.45,87.30,Warning
582468,12.79,20.50,1002.81,39.47,87.26,Warning
584486,12.79,20.51,1002.82,39.50,87.19,Warning
586504,12.79,20.50,1002.82,39.46,87.20,Warning
588522,13.02,20.50,1002.82,39.44,87.20,Warning
590540,12.79,20.50,1002.82,39.42,87.20,Warning
592558,12.79,20.50,1002.82,39.42,87.18,Warning
594576,13.02,20.50,1002.82,39.44,87.20,Warning
596596,12.79,20.50,1002.82,39.44,87.17,Warning
598614,13.02,20.50,1002.82,39.44,87.17,Warning
600632,12.79,20.50,1002.83,39.44,87.16,Warning
602650,13.02,20.50,1002.83,39.44,87.16,Warning
604668,13.02,20.50,1002.83,39.42,87.14,Warning
606686,12.79,20.50,1002.83,39.42,87.14,Warning
608704,12.79,20.50,1002.83,39.41,87.13,Warning
610742,12.79,20.50,1002.83,39.40,87.13,Warning
